DishType,Name,Ingredients,PreparationTime,Price,CuisineType,AdditionalAttributes
DESSERT,Cheesecake,Cream Cheese;Sugar;Eggs;Graham Cracker Crust,60,6.99,AMERICAN,SWEET;7;false
DESSERT,Apple Pie,Apples;Flour;Sugar;Butter,50,5.99,AMERICAN,SWEET;6;false
DESSERT,Gelato,Milk;Sugar;Flavorings,15,4.99,ITALIAN,SWEET;5;false
DESSERT,Mochi Ice Cream,Rice Flour;Sugar;Ice Cream;Cornstarch,20,5.49,JAPANESE,SWEET;4;false
DESSERT,Tiramisu,Mascarpone;Coffee;Ladyfingers;Cocoa,30,6.49,ITALIAN,SWEET;6;false
DESSERT,Baklava,Phyllo Dough;Nuts;Honey;Spices,45,5.99,MEDITERRANEAN,SWEET;8;true
DESSERT,Pavlova,Egg Whites;Sugar;Fruit;Cream,40,5.99,AUSTRALIAN,SWEET;5;false
DESSERT,Chocolate Mousse,Chocolate;Cream;Eggs;Sugar,25,5.49,FRENCH,SWEET;7;false
DESSERT,Churros,Flour;Sugar;Cinnamon;Oil,20,4.99,MEXICAN,SWEET;6;false
DESSERT,Banana Split,Banana;Ice Cream;Chocolate Sauce;Nuts,10,4.99,AMERICAN,SWEET;8;true
DESSERT,Lemon Tart,Lemon;Sugar;Eggs;Pastry Crust,35,5.99,FRENCH,SOUR;5;false
DESSERT,Mango Sticky Rice,Mango;Rice;Coconut Milk;Sugar,25,5.49,THAI,SWEET;6;false
DESSERT,Black Forest Cake,Chocolate Cake;Cherries;Cream;Kirsch,60,6.99,GERMAN,SWEET;8;false
DESSERT,Crepes,Flour;Milk;Eggs;Sugar,20,4.99,FRENCH,SWEET;4;false
DESSERT,Tres Leches Cake,Milk;Eggs;Sugar;Flour,45,5.99,LATIN AMERICAN,SWEET;7;false
DESSERT,Key Lime Pie,Lime Juice;Eggs;Condensed Milk;Crust,30,5.99,AMERICAN,SOUR;6;false
DESSERT,Carrot Cake,Carrots;Flour;Sugar;Cream Cheese;Nuts,50,6.49,AMERICAN,SWEET;7;true
DESSERT,Peach Cobbler,Peaches;Flour;Sugar;Butter,40,5.99,AMERICAN,SWEET;6;false
DESSERT,Panna Cotta,Cream;Sugar;Gelatin;Vanilla,25,5.49,ITALIAN,SWEET;5;false
DESSERT,Fruit Salad,Assorted Fruits;Mint;Honey,15,4.99,INTERNATIONAL,SWEET;3;false
DESSERT,Eclair,Puff Pastry;Cream;Chocolate Glaze,30,5.99,FRENCH,SWEET;6;false
DESSERT,Brownies,Chocolate;Flour;Sugar;Eggs,25,4.49,AMERICAN,SWEET;7;false
DESSERT,Macarons,Almond Flour;Sugar;Egg Whites;Cream,35,6.99,FRENCH,SWEET;5;true
DESSERT,Coconut Cake,Coconut;Flour;Sugar;Eggs,45,5.99,CARIBBEAN,SWEET;7;false
DESSERT,Sticky Toffee Pudding,Dates;Sugar;Flour;Butter,50,6.49,BRITISH,SWEET;8;false
DESSERT,Smores,Graham Crackers;Chocolate;Marshmallows,10,3.99,AMERICAN,SWEET;9;false
DESSERT,Pumpkin Pie,Pumpkin Puree;Eggs;Sugar;Spices,40,5.49,AMERICAN,SWEET;6;false
DESSERT,Rice Pudding,Rice;Milk;Sugar;Cinnamon,35,4.99,INTERNATIONAL,SWEET;5;false
DESSERT,Cannoli,Ricotta Cheese;Sugar;Pastry Shells;Chocolate Chips,30,5.99,ITALIAN,SWEET;7;false
DESSERT,Bread Pudding,Bread;Milk;Eggs;Sugar,45,4.99,BRITISH,SWEET;6;false
DESSERT,Affogato,Vanilla Ice Cream;Espresso,5,3.99,ITALIAN,BITTER;2;false
DESSERT,Strawberry Shortcake,Shortcake;Strawberries;Cream;Sugar,25,5.49,AMERICAN,SWEET;6;false
DESSERT,Opera Cake,Coffee;Chocolate;Almonds;Buttercream,60,6.99,FRENCH,SWEET;8;true
DESSERT,Tartufo,Ice Cream;Chocolate Shell;Fruit Center,20,5.99,ITALIAN,SWEET;7;false
DESSERT,Crema Catalana,Milk;Eggs;Sugar;Lemon Zest,30,5.49,SPANISH,SWEET;6;false
DESSERT,Turkish Delight,Sugar;Cornstarch;Rosewater;Nuts,45,4.99,TURKISH,SWEET;5;true
DESSERT,Flan,Milk;Eggs;Sugar;Vanilla,35,5.49,SPANISH,SWEET;6;false
DESSERT,Chocolate Fondant,Chocolate;Eggs;Sugar;Butter,25,5.99,FRENCH,SWEET;8;false
